Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:12:15:04:42.755737,C9,_init_,ftdi: None,,None
2021:10:12:15:04:43.576844,C9,PING,,None,None
2021:10:12:15:04:43.943240,C9,BIAS,,None,None
2021:10:12:15:04:44.251847,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:12:15:04:44.538679,C9,BIAS,bias: 0,None,None
2021:10:12:15:04:44.924651,C9,HOME,if_needed: 1,None,None
2021:10:12:15:04:45.241848,C9,CURR,axis: 0,None,None
2021:10:12:15:04:45.547382,C9,CURR,axis: 0,None,None
2021:10:12:15:04:45.871284,C9,CURR,axis: 0,None,None
2021:10:12:15:04:46.311320,C9,CURR,axis: 0,None,None
2021:10:12:15:04:46.647347,C9,CURR,axis: 0,None,None
2021:10:12:15:04:46.973451,C9,CURR,axis: 0,None,None
2021:10:12:15:04:47.272378,C9,CURR,axis: 0,None,None
2021:10:12:15:04:47.752146,C9,CURR,axis: 0,None,None
2021:10:12:15:04:48.049570,C9,CURR,axis: 0,None,None
2021:10:12:15:04:48.508091,C9,CURR,axis: 0,None,None
2021:10:12:15:04:48.906480,Tecan Cavro,_init_,ftdi: None,,None
2021:10:12:15:04:49.394124,Magnetic Stirrer,_init_,serial: COM9,,None
2021:10:12:15:04:49.651546,Magnetic Stirrer,IN_NAME,,None,None
2021:10:12:15:04:49.805894,Magnetic Stirrer,IN_PV_1,,None,None
2021:10:12:15:04:49.944526,Magnetic Stirrer,IN_PV_2,,None,None
2021:10:12:15:04:50.098597,Magnetic Stirrer,IN_SP_1,,None,None
2021:10:12:15:04:50.231955,Magnetic Stirrer,IN_PV_4,,None,None
2021:10:12:15:04:50.374195,Magnetic Stirrer,IN_SP_4,,None,None
2021:10:12:15:04:50.531586,Magnetic Stirrer,STOP_4,,None,None
2021:10:12:15:04:50.583449,Magnetic Stirrer,STOP_1,,None,None
2021:10:12:15:05:04.283735,ArduinoAugmentedQuantos,_init_,"logging_level: 10, address: 13, serial_port: None, tcp_port: None, perfect_counts: 8700",,None
2021:10:12:15:05:04.332608,ArduinoAugmentedQuantos,set_home_direction,direction: 0,None,None
